0
tiemstamp & tx_hash:,1687800107,0xaec7f3a7a0d56bdc5ba4a99228f488c7bd822d6e08d0ad3542d5c7a622173b4a

transfer_step,from,to,token_symbol,amount,action_type,swap_pool,action_group,flash_pair
7,1inchAggregationExecutor:01,LLAMMA-WBTC-crvUSD,wbtc,0.0258122,LLAMMA:token_in,LLAMMA-WBTC-crvUSD,LLAMMA:1
8,LLAMMA-WBTC-crvUSD,1inchAggregationExecutor:01,crvusd,786.2728531995572,LLAMMA:token_out,LLAMMA-WBTC-crvUSD,LLAMMA:1
9,1inchAggregationExecutor:01,CurveStableSwap-crvUSD-TUSD,crvusd,786.2728531995572,CurveSwap:token_in,CurveStableSwap-crvUSD-TUSD,CurveSwap:1
10,CurveStableSwap-crvUSD-TUSD,1inchAggregationExecutor:01,tusd,786.5102341228826,CurveSwap:token_out,CurveStableSwap-crvUSD-TUSD,CurveSwap:1
11,1inchAggregationExecutor:01,1inchAggregationRouterV5,tusd,786.5102341228826,,,
12,1inchAggregationRouterV5,MimicSmartVault:02,tusd,786.5102341228826,,,
13,MimicSmartVault:02,MimicSmartVault:01,tusd,5.505571638860178,,,
14,MimicSmartVault:02,tx_from,tusd,781.0046624840223,,,


4
tiemstamp & tx_hash:,1687835279,0x5242eac90e146eded5122b7a0845970c508f4de7bf7b699478f148fd2f3d2909
summary:,profit,cost,revenue,types,tokenCount,venueCount,liquidationDetails
,0.487059734948874441,18.133779680927436411,18.620839415876310852,['Arbitrage'],4,3,[]
price:,usdc,crvusd,,eth
,996891000697.6034,0.9966342094721959,303195118050404.06,1868.69463988

transfer_step,from,to,token_symbol,amount,action_type,swap_pool,action_group,flash_pair
0,tx_from,arbitrage_contract,eth,8.163246481095e-06,,,
1,BalancerVault,arbitrage_contract,usdc,2500.0,BalancerVault:token_out,BalancerVault,flash_borrow:BalancerVault:0,0
2,UniswapV3Pool-WBTC-USDC:fee_500,arbitrage_contract,wbtc,0.08220388,UniswapSwap:token_out,UniswapV3Pool-WBTC-USDC:fee_500,UniswapSwap:1
3,arbitrage_contract,UniswapV3Pool-WBTC-USDC:fee_500,usdc,2500.0,UniswapSwap:token_in,UniswapV3Pool-WBTC-USDC:fee_500,UniswapSwap:1
4,arbitrage_contract,1inchAggregationExecutor:01,wbtc,0.08220387,,,
5,1inchAggregationExecutor:01,LLAMMA-WBTC-crvUSD,wbtc,0.08220387,LLAMMA:token_in,LLAMMA-WBTC-crvUSD,LLAMMA:1
6,LLAMMA-WBTC-crvUSD,1inchAggregationExecutor:01,crvusd,2519.4832497927314,LLAMMA:token_out,LLAMMA-WBTC-crvUSD,LLAMMA:1
7,1inchAggregationExecutor:01,CurveStableSwap-crvUSD-USDC,crvusd,2519.4832497927314,CurveSwap:token_in,CurveStableSwap-crvUSD-USDC,CurveSwap:1
8,CurveStableSwap-crvUSD-USDC,1inchAggregationExecutor:01,usdc,2518.678608,CurveSwap:token_out,CurveStableSwap-crvUSD-USDC,CurveSwap:1
9,1inchAggregationExecutor:01,1inchAggregationRouterV5,usdc,2518.678608,,,
10,1inchAggregationRouterV5,arbitrage_contract,usdc,2518.678608,,,
11,arbitrage_contract,BalancerVault,usdc,2500.0,BalancerVault:token_in,BalancerVault,flash_repay:BalancerVault:0,0
