id,transactionHash,blockTimestamp,blockNumber,sold_id,tokens_sold,bought_id,tokens_bought,buyer,eigenphi_txlink
0xe0df13cc1d24ccddd94bf5a44c080eabe1fa3be68d6db852d4cc458a2e0c7b4f42000000,0xe0df13cc1d24ccddd94bf5a44c080eabe1fa3be68d6db852d4cc458a2e0c7b4f,1687534115,17543161,1,20.007053624763778,0,39632.87122095051,{'id': '0x5235ab195b7a4ca1a3c8d01d45865d075d9b8b56'},https://eigenphi.io/mev/eigentx/0xe0df13cc1d24ccddd94bf5a44c080eabe1fa3be68d6db852d4cc458a2e0c7b4f
0x5781eb1917512bbbfe6c0457412af212620467e6dc5fdf572e3578aa52928c4133000000,0x5781eb1917512bbbfe6c0457412af212620467e6dc5fdf572e3578aa52928c41,1687535255,17543255,1,14.364613944365692,0,28528.714456070622,{'id': '0xe4000004000bd8006e00720000d27d1fa000d43e'},https://eigenphi.io/mev/eigentx/0x5781eb1917512bbbfe6c0457412af212620467e6dc5fdf572e3578aa52928c41
0x3b02ba78fc73a7a6d38f1b98d7108571599ea215502535d7fb727aea5f6e1e880b000000,0x3b02ba78fc73a7a6d38f1b98d7108571599ea215502535d7fb727aea5f6e1e88,1687536191,17543332,1,30.951077092620135,0,62060.727263088476,{'id': '0x1a6155ff9305f6e8a83f40736029b50078c187f0'},https://eigenphi.io/mev/eigentx/0x3b02ba78fc73a7a6d38f1b98d7108571599ea215502535d7fb727aea5f6e1e88
0x1705ac879a9d369f5674d0bd6313ba04bbaa8eb6c4ad2fef8762bc90f443e601e2000000,0x1705ac879a9d369f5674d0bd6313ba04bbaa8eb6c4ad2fef8762bc90f443e601,1687537007,17543400,1,0.07105242925819952,0,144.3519653129532,{'id': '0x425d16b0e08a28a3ff9e4404ae99d78c0a076c5a'},https://eigenphi.io/mev/eigentx/0x1705ac879a9d369f5674d0bd6313ba04bbaa8eb6c4ad2fef8762bc90f443e601
0x4245aa9339b47636b17e1ad9b78a401a2d64580d23cbde41234f7d2bcd7f3de65a000000,0x4245aa9339b47636b17e1ad9b78a401a2d64580d23cbde41234f7d2bcd7f3de6,1687559603,17545261,0,23879.335350718728,1,12.14527241999675,{'id': '0x54bb8cde066150319d6251d4332cbc4daf0c03e8'},https://eigenphi.io/mev/eigentx/0x4245aa9339b47636b17e1ad9b78a401a2d64580d23cbde41234f7d2bcd7f3de6
0x8b048d527254145adcd70d5cfa2b6daacc1cc232224064ae8afac8e59413feef49000000,0x8b048d527254145adcd70d5cfa2b6daacc1cc232224064ae8afac8e59413feef,1687560179,17545307,0,19896.95094285674,1,10.101211962756397,{'id': '0x5235ab195b7a4ca1a3c8d01d45865d075d9b8b56'},https://eigenphi.io/mev/eigentx/0x8b048d527254145adcd70d5cfa2b6daacc1cc232224064ae8afac8e59413feef
0xb33d196a15af0246074b5d9483f451e931ce627fc846021e711d8a115f9a586a09000000,0xb33d196a15af0246074b5d9483f451e931ce627fc846021e711d8a115f9a586a,1687579391,17546893,1,17.791045540107785,0,35292.282226118274,{'id': '0x5235ab195b7a4ca1a3c8d01d45865d075d9b8b56'},https://eigenphi.io/mev/eigentx/0xb33d196a15af0246074b5d9483f451e931ce627fc846021e711d8a115f9a586a
0x1a54e65165a20be926effa768920f3800f50637741e966bef4b118ed197f2f8e10000000,0x1a54e65165a20be926effa768920f3800f50637741e966bef4b118ed197f2f8e,1687594199,17548108,0,18864.278085442962,1,9.592965297233667,{'id': '0xe4000004000bd8006e00720000d27d1fa000d43e'},https://eigenphi.io/mev/eigentx/0x1a54e65165a20be926effa768920f3800f50637741e966bef4b118ed197f2f8e
0x76ba33ba7d28df13c08d952e4e0a2cea96f8b7872e3da0d7d0892dde9c1205e524000000,0x76ba33ba7d28df13c08d952e4e0a2cea96f8b7872e3da0d7d0892dde9c1205e5,1687610747,17549465,1,9.57619036334258,0,19052.98908318521,{'id': '0x5235ab195b7a4ca1a3c8d01d45865d075d9b8b56'},https://eigenphi.io/mev/eigentx/0x76ba33ba7d28df13c08d952e4e0a2cea96f8b7872e3da0d7d0892dde9c1205e5
0x09429cb153b78abf87fc696777879aa0d82897c05cfd970a55a450d97d12004508000000,0x09429cb153b78abf87fc696777879aa0d82897c05cfd970a55a450d97d120045,1687622039,17550397,0,45617.234003819925,1,23.409656732626583,{'id': '0x54bb8cde066150319d6251d4332cbc4daf0c03e8'},https://eigenphi.io/mev/eigentx/0x09429cb153b78abf87fc696777879aa0d82897c05cfd970a55a450d97d120045
0x50fb0772fc5dc56f433b27b7f436f549e12a6554800afb6abe79869cbc2874cf5e000000,0x50fb0772fc5dc56f433b27b7f436f549e12a6554800afb6abe79869cbc2874cf,1687622411,17550428,0,24380.113124886997,1,12.475555904175309,{'id': '0xe4000004000bd8006e00720000d27d1fa000d43e'},https://eigenphi.io/mev/eigentx/0x50fb0772fc5dc56f433b27b7f436f549e12a6554800afb6abe79869cbc2874cf
0xe208c3fb77fb31b6aba40857d2865f834b506dd30b7636eb8ba296b66f4d515d09000000,0xe208c3fb77fb31b6aba40857d2865f834b506dd30b7636eb8ba296b66f4d515d,1687622963,17550473,0,27797.54833157422,1,14.226756598868663,{'id': '0x54bb8cde066150319d6251d4332cbc4daf0c03e8'},https://eigenphi.io/mev/eigentx/0xe208c3fb77fb31b6aba40857d2865f834b506dd30b7636eb8ba296b66f4d515d
0x8cbfb5daa4f89eb1ca8765b4029e7a97f676676a01ffe0b4490160d083a5479441000000,0x8cbfb5daa4f89eb1ca8765b4029e7a97f676676a01ffe0b4490160d083a54794,1687623383,17550507,0,24179.38171086085,1,12.365779008783852,{'id': '0x54bb8cde066150319d6251d4332cbc4daf0c03e8'},https://eigenphi.io/mev/eigentx/0x8cbfb5daa4f89eb1ca8765b4029e7a97f676676a01ffe0b4490160d083a54794
0xaf2d3391a005216cc8aaa2cb02c912188f1ad92e34b18c80861a9cd7bfc245e006000000,0xaf2d3391a005216cc8aaa2cb02c912188f1ad92e34b18c80861a9cd7bfc245e0,1687623779,17550538,0,29857.853808946897,1,15.272966407477709,{'id': '0x54bb8cde066150319d6251d4332cbc4daf0c03e8'},https://eigenphi.io/mev/eigentx/0xaf2d3391a005216cc8aaa2cb02c912188f1ad92e34b18c80861a9cd7bfc245e0
