index,count,tx_0,action_types
12,5,0x3069dbb152b5b7a89a7e3660207ee6ad1c7d0f232f6bf6c9576dbce6b6d83f12,"['PancakeSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'frxETH_unstake:frxETH_out', 'frxETH_unstake:sFrxETH_in', 'CurveSwap:token_in', 'CurveSwap:token_out', 'WETH_deposit:eth_in', 'WETH_deposit:weth_out', 'PancakeSwap:token_in']"
4,4,0x67dd3f3b7bb248db07db8a5b79e2d44be3196c6b32e865a9c43ff2acedbf1fd2,"['CurveRouter:token_in', 'CurveRouter:token_out', 'CurveRouter:token_in', 'CurveRouter:token_out']"
11,4,0xb945b28b80bf913bac71eab3fa18b575c1bcef049e52513d35adfd520505e326,"['LLAMMA:token_in', 'LLAMMA:token_out']"
26,4,0x8f8fb3632807be1b05639676ffc7d81fe60730baa502d51c7b747dd796257bbe,"['UniswapSwap:token_out', 'UniswapSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'BalancerVault:token_in', 'UniswapSwap:token_in', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'miner_take_profit', 'UniswapSwap:token_in']"
33,4,0xa2eae1c97e6dbbb00b3b39492ed34ff505c4f41dab1d0bc6a2dfce084c48d32b,"['UniswapSwap:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'frxETH_mint:eth_in', 'frxETH_transfer', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'UniswapSwap:token_in']"
2,3,0xa4ba66de27d759e019eb5ff018a4e0e5ed7b797849ebec63f107cd6c92624338,"['BalancerVault:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'frxETH_mint:eth_in', 'frxETH_mint:frxETH_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'PancakeSwap:token_out', 'BalancerVault:token_in', 'PancakeSwap:token_in']"
8,3,0x9108102852fb447788d575b72c93e125f23b0bfc0b3fb5e5f742e364f9c5a3fc,"['CurveRouter:token_in', 'CurveRouter:token_to_pool', 'CurveSwap:WETH_deposit_eth_out', 'CurveSwap:WETH_deposit_weth_in', 'CurveRouter:token_from_pool', 'CurveRouter:token_to_pool', 'CurveRouter:token_from_pool', 'CurveRouter:token_out', 'CurveRouter:token_in', 'CurveRouter:token_out']"
16,3,0xd2f9aa2d1f587c59749cf3bc138af211649ba18bc6d84f5934d03e1cd136d2d2,"['UniswapSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'frxETH_unstake:frxETH_out', 'frxETH_unstake:sFrxETH_in', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'miner_take_profit', 'UniswapSwap:token_in']"
17,3,0x99ff5def683b940ea1f9d3212e0b825b89416763ee1c260f24a2863febd6fa3b,"['UniswapSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'BalancerVault:token_in', 'BalancerVault:token_out', 'CurveSwap:token_in', 'CurveSwap:WETH_deposit_eth_out', 'CurveSwap:WETH_deposit_weth_in', 'CurveSwap:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'miner_take_profit', 'UniswapSwap:token_in']"
31,3,0x8f8577f91a25785261e3fba3b4ed8daaf3ede05431dd450d41ef52c56538fa7f,"['UniswapSwap:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'CurveSwap:token_in', 'CurveSwap:token_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'miner_take_profit', 'UniswapSwap:token_in']"
